DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,TOTAL_MIN_CAPACITY_PRICE_[EUR/MW],TOTAL_AVERAGE_CAPACITY_PRICE_[EUR/MW],TOTAL_MARGINAL_CAPACITY_PRICE_[EUR/MW],TOTAL_MIN_ENERGY_PRICE_[EUR/MWh],TOTAL_AVERAGE_ENERGY_PRICE_[EUR/MWh],TOTAL_MARGINAL_ENERGY_PRICE_[EUR/MWh],GERMANY_MIN_CAPACITY_PRICE_[EUR/MW],GERMANY_AVERAGE_CAPACITY_PRICE_[EUR/MW],GERMANY_MARGINAL_CAPACITY_PRICE_[EUR/MW],GERMANY_MIN_ENERGY_PRICE_[EUR/MWh],GERMANY_AVERAGE_ENERGY_PRICE_[EUR/MWh],GERMANY_MARGINAL_ENERGY_PRICE_[EUR/MWh],GERMANY_IMPORT(-)_EXPORT(+)_[MW],AUSTRIA_MIN_CAPACITY_PRICE_[EUR/MW],AUSTRIA_AVERAGE_CAPACITY_PRICE_[EUR/MW],AUSTRIA_MARGINAL_CAPACITY_PRICE_[EUR/MW],AUSTRIA_MIN_ENERGY_PRICE_[EUR/MWh],AUSTRIA_AVERAGE_ENERGY_PRICE_[EUR/MWh],AUSTRIA_MARGINAL_ENERGY_PRICE_[EUR/MWh],AUSTRIA_IMPORT(-)_EXPORT(+)_[MW],GERMANY_SUM_OF_OFFERED_CAPACITY_[MW]
1/1/2020,1/1/2020,aFRR,POS_00_04,0.000,0.000,0.010,55.000,913.600,9999.000,0.000,0.000,0.010,55.000,913.600,9999.000,0.000,,,,,,,,
1/1/2020,1/1/2020,aFRR,POS_04_08,0.000,0.190,1.110,57.300,2136.650,9983.100,0.000,0.190,1.110,57.300,2136.650,9983.100,0.000,,,,,,,,
1/1/2020,1/1/2020,aFRR,POS_08_12,0.000,0.450,1.790,55.000,1279.870,9627.000,0.000,0.450,1.790,55.000,1279.870,9627.000,0.000,,,,,,,,
1/1/2020,1/1/2020,aFRR,POS_12_16,0.000,0.540,1.940,55.000,1262.800,9999.000,0.000,0.540,1.940,55.000,1262.800,9999.000,0.000,,,,,,,,
1/1/2020,1/1/2020,aFRR,POS_16_20,0.000,17.260,24.000,55.000,671.750,9949.000,0.000,17.260,24.000,55.000,671.750,9949.000,0.000,,,,,,,,
1/1/2020,1/1/2020,aFRR,POS_20_24,0.000,0.780,2.800,55.000,2039.480,4000.000,0.000,0.780,2.800,55.000,2039.480,4000.000,0.000,,,,,,,,
1/1/2020,1/1/2020,aFRR,NEG_00_04,0.000,26.740,36.760,6.980,-274.570,-9878.000,0.000,26.740,36.760,6.980,-274.570,-9878.000,0.000,,,,,,,,
1/1/2020,1/1/2020,aFRR,NEG_04_08,0.000,19.590,26.300,6.120,-300.120,-9878.000,0.000,19.590,26.300,6.120,-300.120,-9878.000,0.000,,,,,,,,
1/1/2020,1/1/2020,aFRR,NEG_08_12,0.000,0.860,2.600,13.440,-879.530,-9878.000,0.000,0.860,2.600,13.440,-879.530,-9878.000,0.000,,,,,,,,
1/1/2020,1/1/2020,aFRR,NEG_12_16,0.000,2.700,6.000,14.360,-534.200,-9878.000,0.000,2.700,6.000,14.360,-534.200,-9878.000,0.000,,,,,,,,
1/1/2020,1/1/2020,aFRR,NEG_16_20,0.000,0.140,0.760,21.900,-882.380,-9878.000,0.000,0.140,0.760,21.900,-882.380,-9878.000,0.000,,,,,,,,
1/1/2020,1/1/2020,aFRR,NEG_20_24,0.000,0.750,2.120,14.980,-881.130,-9878.000,0.000,0.750,2.120,14.980,-881.130,-9878.000,0.000,,,,,,,,
1/2/2020,1/2/2020,aFRR,POS_00_04,0.000,0.000,0.000,55.000,162.340,279.110,0.000,0.000,0.000,55.000,162.340,279.110,0.000,,,,,,,,
1/2/2020,1/2/2020,aFRR,POS_04_08,0.000,0.000,0.000,55.000,471.220,825.000,0.000,0.000,0.000,55.000,471.220,825.000,0.000,,,,,,,,
1/2/2020,1/2/2020,aFRR,POS_08_12,0.000,0.590,3.900,55.000,540.560,9999.000,0.000,0.590,3.900,55.000,540.560,9999.000,0.000,,,,,,,,
1/2/2020,1/2/2020,aFRR,POS_12_16,0.000,0.550,2.780,55.000,442.370,9999.000,0.000,0.550,2.780,55.000,442.370,9999.000,0.000,,,,,,,,
1/2/2020,1/2/2020,aFRR,POS_16_20,0.000,15.120,20.000,55.000,872.070,9999.000,0.000,15.120,20.000,55.000,872.070,9999.000,0.000,,,,,,,,
1/2/2020,1/2/2020,aFRR,POS_20_24,0.000,0.270,1.640,55.000,438.190,9999.000,0.000,0.270,1.640,55.000,438.190,9999.000,0.000,,,,,,,,
1/2/2020,1/2/2020,aFRR,NEG_00_04,0.000,21.050,29.360,7.000,-758.170,-9878.000,0.000,21.050,29.360,7.000,-758.170,-9878.000,0.000,,,,,,,,
1/2/2020,1/2/2020,aFRR,NEG_04_08,0.000,14.480,22.000,7.780,-761.450,-9878.000,0.000,14.480,22.000,7.780,-761.450,-9878.000,0.000,,,,,,,,
1/2/2020,1/2/2020,aFRR,NEG_08_12,0.000,0.130,0.980,13.000,-406.250,-9878.000,0.000,0.130,0.980,13.000,-406.250,-9878.000,0.000,,,,,,,,
1/2/2020,1/2/2020,aFRR,NEG_12_16,0.000,1.310,2.800,14.130,-613.320,-9878.000,0.000,1.310,2.800,14.130,-613.320,-9878.000,0.000,,,,,,,,
1/2/2020,1/2/2020,aFRR,NEG_16_20,0.000,0.070,0.590,21.900,-404.710,-9878.000,0.000,0.070,0.590,21.900,-404.710,-9878.000,0.000,,,,,,,,
1/2/2020,1/2/2020,aFRR,NEG_20_24,0.000,0.280,2.760,15.000,-681.950,-9878.000,0.000,0.280,2.760,15.000,-681.950,-9878.000,0.000,,,,,,,,
1/3/2020,1/3/2020,aFRR,POS_00_04,0.000,0.430,1.760,55.000,505.450,9999.000,0.000,0.430,1.760,55.000,505.450,9999.000,0.000,,,,,,,,
1/3/2020,1/3/2020,aFRR,POS_04_08,0.000,0.310,2.630,55.000,352.030,9999.000,0.000,0.310,2.630,55.000,352.030,9999.000,0.000,,,,,,,,
1/3/2020,1/3/2020,aFRR,POS_08_12,0.000,1.760,4.250,55.000,404.710,9999.000,0.000,1.760,4.250,55.000,404.710,9999.000,0.000,,,,,,,,
1/3/2020,1/3/2020,aFRR,POS_12_16,0.000,0.160,1.700,-55.000,2215.120,9999.000,0.000,0.160,1.700,-55.000,2215.120,9999.000,0.000,,,,,,,,
1/3/2020,1/3/2020,aFRR,POS_16_20,0.000,14.870,19.670,55.000,751.090,9999.000,0.000,14.870,19.670,55.000,751.090,9999.000,0.000,,,,,,,,
1/3/2020,1/3/2020,aFRR,POS_20_24,0.000,0.120,1.070,55.000,2261.050,9999.000,0.000,0.120,1.070,55.000,2261.050,9999.000,0.000,,,,,,,,
1/3/2020,1/3/2020,aFRR,NEG_00_04,0.000,27.800,45.000,6.000,-915.330,-9878.000,0.000,27.800,45.000,6.000,-915.330,-9878.000,0.000,,,,,,,,
1/3/2020,1/3/2020,aFRR,NEG_04_08,0.000,21.570,34.000,6.000,-957.800,-9878.000,0.000,21.570,34.000,6.000,-957.800,-9878.000,0.000,,,,,,,,
1/3/2020,1/3/2020,aFRR,NEG_08_12,0.000,0.340,3.000,12.900,-476.590,-9878.000,0.000,0.340,3.000,12.900,-476.590,-9878.000,0.000,,,,,,,,
1/3/2020,1/3/2020,aFRR,NEG_12_16,0.000,1.200,2.670,14.600,-358.690,-9878.000,0.000,1.200,2.670,14.600,-358.690,-9878.000,0.000,,,,,,,,
1/3/2020,1/3/2020,aFRR,NEG_16_20,0.000,0.110,0.940,21.900,-424.970,-9878.000,0.000,0.110,0.940,21.900,-424.970,-9878.000,0.000,,,,,,,,
1/3/2020,1/3/2020,aFRR,NEG_20_24,0.000,0.240,1.650,15.000,-814.040,-9878.000,0.000,0.240,1.650,15.000,-814.040,-9878.000,0.000,,,,,,,,
1/4/2020,1/4/2020,aFRR,POS_00_04,0.000,0.890,3.700,54.000,1108.220,9999.000,0.000,0.890,3.700,54.000,1108.220,9999.000,0.000,,,,,,,,
1/4/2020,1/4/2020,aFRR,POS_04_08,0.000,0.040,1.000,54.000,2012.020,9999.000,0.000,0.040,1.000,54.000,2012.020,9999.000,0.000,,,,,,,,
